episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,100.0,12,10,1,1,15.0
1,200.0,26,22,2,2,22.09090909090909
1,300.0,35,31,2,2,23.741935483870968
1,400.0,41,37,2,2,24.08108108108108
1,500.0,55,48,3,4,24.479166666666668
1,600.0,65,60,3,2,25.383333333333333
1,700.0,76,70,3,3,25.857142857142858
1,800.0,85,79,3,3,26.063291139240505
1,900.0,94,90,3,1,26.033333333333335
1,1000.0,104,97,3,4,25.969072164948454
1,1100.0,116,108,3,5,26.10185185185185
1,1200.0,131,123,3,5,26.51219512195122
1,1300.0,143,136,3,4,26.514705882352942
1,1400.0,147,142,3,2,26.570422535211268
1,1500.0,158,151,3,4,26.225165562913908
1,1600.0,172,168,3,1,26.24404761904762
1,1700.0,178,172,3,3,26.296511627906977
1,1800.0,186,180,6,0,25.93888888888889
1,1900.0,196,190,6,0,25.857894736842105
1,2000.0,203,197,6,0,26.050761421319798
1,2100.0,220,211,7,2,25.85308056872038
1,2200.0,231,222,7,2,26.085585585585587
1,2300.0,241,233,7,1,26.124463519313306
1,2400.0,258,249,7,2,26.10843373493976
1,2500.0,269,256,7,6,26.140625
1,2600.0,282,268,11,3,26.238805970149254
1,2700.0,290,273,11,6,26.205128205128204
1,2800.0,309,294,12,3,26.18027210884354
1,2900.0,317,302,12,3,26.132450331125828
1,3000.0,323,309,12,2,26.129449838187703
1,3100.0,331,317,12,2,26.07570977917981
1,3200.0,337,324,12,1,26.09259259259259
1,3300.0,346,328,12,6,26.067073170731707
1,3400.0,351,336,13,2,26.035714285714285
