time,origin_node,sfc,sf,schedule_node,schedule_prob
500.0,pop0,sfc_1,b,pop0,1
500.0,pop0,sfc_1,b,pop1,0
500.0,pop0,sfc_1,b,pop2,0
500.0,pop0,sfc_1,c,pop0,1
500.0,pop0,sfc_1,c,pop1,0
500.0,pop0,sfc_1,c,pop2,0
500.0,pop1,sfc_1,a,pop0,0.34
500.0,pop1,sfc_1,a,pop1,0.33
500.0,pop1,sfc_1,a,pop2,0.33
500.0,pop1,sfc_1,b,pop0,0.34
500.0,pop1,sfc_1,b,pop1,0.33
500.0,pop1,sfc_1,b,pop2,0.33
500.0,pop1,sfc_1,c,pop0,0.34
500.0,pop1,sfc_1,c,pop1,0.33
500.0,pop1,sfc_1,c,pop2,0.33
500.0,pop2,sfc_1,a,pop0,0.34
500.0,pop2,sfc_1,a,pop1,0.33
500.0,pop2,sfc_1,a,pop2,0.33
500.0,pop2,sfc_1,b,pop0,0.34
500.0,pop2,sfc_1,b,pop1,0.33
500.0,pop2,sfc_1,b,pop2,0.33
500.0,pop2,sfc_1,c,pop0,0.34
500.0,pop2,sfc_1,c,pop1,0.33
500.0,pop2,sfc_1,c,pop2,0.33
600.0,pop0,sfc_1,a,pop0,1
600.0,pop0,sfc_1,a,pop1,0
600.0,pop0,sfc_1,a,pop2,0
600.0,pop0,sfc_1,b,pop0,1
600.0,pop0,sfc_1,b,pop1,0
600.0,pop0,sfc_1,b,pop2,0
600.0,pop0,sfc_1,c,pop0,1
600.0,pop0,sfc_1,c,pop1,0
600.0,pop0,sfc_1,c,pop2,0
600.0,pop1,sfc_1,a,pop0,0.34
600.0,pop1,sfc_1,a,pop1,0.33
600.0,pop1,sfc_1,a,pop2,0.33
600.0,pop1,sfc_1,b,pop0,0.34
600.0,pop1,sfc_1,b,pop1,0.33
600.0,pop1,sfc_1,b,pop2,0.33
600.0,pop1,sfc_1,c,pop0,0.34
600.0,pop1,sfc_1,c,pop1,0.33
600.0,pop1,sfc_1,c,pop2,0.33
600.0,pop2,sfc_1,a,pop0,0.34
600.0,pop2,sfc_1,a,pop1,0.33
600.0,pop2,sfc_1,a,pop2,0.33
600.0,pop2,sfc_1,b,pop0,0.34
600.0,pop2,sfc_1,b,pop1,0.33
600.0,pop2,sfc_1,b,pop2,0.33
600.0,pop2,sfc_1,c,pop0,0.34
600.0,pop2,sfc_1,c,pop1,0.33
600.0,pop2,sfc_1,c,pop2,0.33
700.0,pop0,sfc_1,a,pop0,1
700.0,pop0,sfc_1,a,pop1,0
700.0,pop0,sfc_1,a,pop2,0
700.0,pop0,sfc_1,b,pop0,1
700.0,pop0,sfc_1,b,pop1,0
